Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
1987,10,14,3,741,730,912,849,PS,1451,NA,91,79,NA,23,11,SAN,SFO,447,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,15,4,729,730,903,849,PS,1451,NA,94,79,NA,14,-1,SAN,SFO,447,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,17,6,741,730,918,849,PS,1451,NA,97,79,NA,29,11,SAN,SFO,447,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,1,4,1520,1505,1624,1608,PS,1453,NA,64,63,NA,16,15,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,2,5,1508,1505,1615,1608,PS,1453,NA,67,63,NA,7,3,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,4,7,1526,1505,1625,1608,PS,1453,NA,59,63,NA,17,21,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,5,1,1504,1505,1602,1608,PS,1453,NA,58,63,NA,-6,-1,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,6,2,1505,1505,1607,1608,PS,1453,NA,62,63,NA,-1,0,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,1,4,851,830,1008,937,PS,1457,NA,77,67,NA,31,21,LAX,SFO,337,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,2,5,831,830,948,937,PS,1457,NA,77,67,NA,11,1,LAX,SFO,337,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,5,1,833,830,932,937,PS,1457,NA,59,67,NA,-5,3,LAX,SFO,337,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,6,2,NA,830,NA,937,PS,1457,NA,NA,67,NA,NA,NA,LAX,SFO,337,NA,NA,1,NA,0,NA,NA,NA,NA,NA
1987,10,8,4,843,830,952,937,PS,1457,NA,69,67,NA,15,13,LAX,SFO,337,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,15,4,1839,1830,1949,1929,PS,1460,NA,70,59,NA,20,9,OAK,BUR,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,17,6,1830,1830,1930,1929,PS,1460,NA,60,59,NA,1,0,OAK,BUR,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,18,7,1830,1830,1934,1929,PS,1460,NA,64,59,NA,5,0,OAK,BUR,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,19,1,1834,1830,1944,1929,PS,1460,NA,70,59,NA,15,4,OAK,BUR,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,20,2,1828,1830,1943,1929,PS,1460,NA,75,59,NA,14,-2,OAK,BUR,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,28,3,1907,1850,2015,1957,PS,1463,NA,68,67,NA,18,17,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,29,4,1852,1850,2004,1957,PS,1463,NA,72,67,NA,7,2,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,30,5,1858,1850,2002,1957,PS,1463,NA,64,67,NA,5,8,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,31,6,1849,1850,1950,1957,PS,1463,NA,61,67,NA,-7,-1,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,28,3,1559,1515,1702,1611,PS,1464,NA,63,56,NA,51,44,SJC,BUR,296,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,29,4,1525,1515,1636,1611,PS,1464,NA,71,56,NA,25,10,SJC,BUR,296,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,30,5,1518,1515,1620,1611,PS,1464,NA,62,56,NA,9,3,SJC,BUR,296,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,1,4,2003,2000,2058,2059,PS,1465,NA,55,59,NA,-1,3,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,2,5,2000,2000,2100,2059,PS,1465,NA,60,59,NA,1,0,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,4,7,2040,2000,2136,2059,PS,1465,NA,56,59,NA,37,40,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,6,2,2000,2000,2055,2059,PS,1465,NA,55,59,NA,-4,0,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,7,3,1959,2000,2055,2059,PS,1465,NA,56,59,NA,-4,-1,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,18,7,1817,1810,1950,1927,TW,54,NA,153,137,NA,23,7,MCO,STL,880,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,19,1,1809,1810,2000,1927,TW,54,NA,171,137,NA,33,-1,MCO,STL,880,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,21,3,1812,1810,1951,1927,TW,54,NA,159,137,NA,24,2,MCO,STL,880,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,22,4,1812,1810,1944,1927,TW,54,NA,152,137,NA,17,2,MCO,STL,880,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,23,5,1809,1810,1952,1927,TW,54,NA,163,137,NA,25,-1,MCO,STL,880,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,24,6,1810,1810,1926,1927,TW,54,NA,136,137,NA,-1,0,MCO,STL,880,NA,NA,0,NA,0,NA,NA,NA,NA,NA
